"Rk","Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","Gls...12","Ast...13","G+A...14","G-PK...15","PK","PKatt","CrdY","CrdR","xG...20","npxG...21","xAG...22","npxG+xAG...23","PrgC","PrgP","PrgR","Gls...27","Ast...28","G+A...29","G-PK...30","G+A-PK","xG...32","xAG...33","xG+xAG","npxG...35","npxG+xAG...36","Matches","logAge"
"369","Paul Pogba","fr FRA","MF","Manchester Utd",25,"1993","35","34",3006,"33.4","13","9","22","6","7","10","6","0","15","7.1","4.7","11.8","100","295","205","0.39","0.27","0.66","0.18","0.45","0.45","0.14000000000000001","0.59","0.21","0.35","Matches",3.2188758248682
"370","Alex Pritchard","eng ENG","MF,FW","Huddersfield",25,"1993","30","26",2081,"23.1","2","0","2","2","0","0","2","0","2.7","2.7","1.8","4.5","72","91","164","0.09","0","0.09","0.09","0.09","0.12","0.08","0.19","0.12","0.19","Matches",3.2188758248682
"371","Sebastian Prödl","at AUT","DF","Watford",31,"1987","1","0",13,"0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.43398720448515
"372","Davy Pröpper","nl NED","MF","Brighton",26,"1991","30","30",2546,"28.3","1","1","2","1","0","0","2","0","0.9","0.9","1.3","2.1","28","165","58","0.04","0.04","7.0000000000000007E-2","0.04","7.0000000000000007E-2","0.03","0.05","0.08","0.03","0.08","Matches",3.25809653802148
"373","Jason Puncheon","eng ENG","MF","Crystal Palace",32,"1986","5","0",13,"0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","Matches",3.46573590279973
"374","Jason Puncheon","eng ENG","MF","Huddersfield",32,"1986","6","5",382,"4.2","0","0","0","0","0","0","1","0","0.3","0.3","0.5","0.8","6","26","17","0","0","0","0","0","0.06","0.12","0.19","0.06","0.19","Matches",3.46573590279973
"375","Collin Quaner","de GER","FW","Huddersfield",27,"1991","2","0",39,"0.4","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0","4","2","0","0","0","0","0","0","0.17","0.17","0","0.17","Matches",3.29583686600433
"376","Domingos Quina","pt POR","MF","Watford",18,"1999","8","3",338,"3.8","1","0","1","1","0","0","0","0","0.2","0.2","0.1","0.2","8","20","6","0.27","0","0.27","0.27","0.27","0.04","0.02","0.06","0.04","0.06","Matches",2.89037175789616
"377","Joe Ralls","eng ENG","MF","Cardiff City",24,"1993","28","22",1959,"21.8","0","0","0","0","0","1","4","1","1.6","0.8","3.2","4.0999999999999996","20","111","18","0","0","0","0","0","7.0000000000000007E-2","0.15","0.22","0.04","0.19","Matches",3.17805383034795
"378","Aaron Ramsey","wls WAL","MF","Arsenal",27,"1990","28","14",1331,"14.8","4","6","10","4","0","0","0","0","3.4","3.4","2","5.4","47","88","133","0.27","0.41","0.68","0.27","0.68","0.23","0.14000000000000001","0.37","0.23","0.37","Matches",3.29583686600433
"379","Kayne Ramsey","eng ENG","DF","Southampton",17,"2000","1","1",90,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",2.83321334405622
"380","Marcus Rashford","eng ENG","FW","Manchester Utd",20,"1997","33","26",2334,"25.9","10","6","16","10","0","0","3","1","10.7","10.7","5","15.7","74","65","225","0.39","0.23","0.62","0.39","0.62","0.41","0.19","0.6","0.41","0.6","Matches",2.99573227355399
"381","Tim Ream","us USA","DF","Fulham",30,"1987","26","25",2047,"22.7","0","0","0","0","0","0","1","0","0","0","0.1","0.2","13","68","1","0","0","0","0","0","0","0.01","0.01","0","0.01","Matches",3.40119738166216
"382","Nathan Redmond","eng ENG","MF,FW","Southampton",24,"1994","38","36",3270,"36.299999999999997","6","4","10","6","0","0","3","0","7.6","7.6","4.7","12.2","174","129","301","0.17","0.11","0.28000000000000003","0.17","0.28000000000000003","0.21","0.13","0.34","0.21","0.34","Matches",3.17805383034795
"383","Bobby Reid","jm JAM","FW,MF","Cardiff City",25,"1993","27","16",1424,"15.8","5","2","7","4","1","1","0","0","3.8","3","1.2","4.2","15","23","76","0.32","0.13","0.44","0.25","0.38","0.24","7.0000000000000007E-2","0.31","0.19","0.26","Matches",3.2188758248682
"384","Declan Rice","eng ENG","MF","West Ham",19,"1999","34","34",3003,"33.4","2","0","2","2","0","0","4","0","1.2","1.2","0.4","1.6","27","127","11","0.06","0","0.06","0.06","0.06","0.04","0.01","0.05","0.04","0.05","Matches",2.94443897916644
"385","Jazz Richards","wls WAL","DF,MF","Cardiff City",27,"1991","4","0",132,"1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","Matches",3.29583686600433
"386","Richarlison","br BRA","FW,MF","Everton",21,"1997","35","32",2665,"29.6","13","1","14","13","0","0","5","1","9.4","9.3000000000000007","2","11.3","95","74","220","0.44","0.03","0.47","0.44","0.47","0.32","7.0000000000000007E-2","0.38","0.32","0.38","Matches",3.04452243772342
"387","Diego Rico","es ESP","DF,MF","Bournemouth",25,"1993","12","5",612,"6.8","0","0","0","0","0","0","1","0","0.2","0.2","1.1000000000000001","1.3","11","39","34","0","0","0","0","0","0.04","0.16","0.2","0.04","0.2","Matches",3.2188758248682
